"chrono","MIS","species","country","site","label","side","B","L","location"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART01 C10 D25 7","sin",13,15,"Musée d’Angoulême, Charente"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART97 C10 D25 1 44","sin",14,"16.5","Musée d’Angoulême, Charente"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART C10","sin","14.5",17,"Musée d’Angoulême, Charente"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART C10","sin",13,15,"Musée d’Angoulême, Charente"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART01 C10 D25 5","dext",13,16,"Musée d’Angoulême, Charente"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART C10","sin",12,15,"Musée d’Angoulême, Charente"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART97 C10 D25 9","sin",12,15,"Musée d’Angoulême, Charente"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART97 C10 D25 9","sin",13,16,"Musée d’Angoulême, Charente"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART99 C10 SC1","sin",13,16,"Musée d’Angoulême, Charente"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART97 C10 D25 4 151","sin",12,14,"Musée d’Angoulême, Charente"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART97 C10 D25 9 342","dext",13,14,"Musée d’Angoulême, Charente"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART97 C10 D25 7 243","dext",13,16,"Musée d’Angoulême, Charente"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART C10 10 350","sin",12,,"Musée d’Angoulême, Charente"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART C10","dext",13,16,"Musée d’Angoulême, Charente"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Baume-Longue","MR.4.002.574","sin","12.82","15.53","Muséum Requien, Avignon"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Baume-Longue","MR.4.002.705","sin","14.5","16.16","Muséum Requien, Avignon"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Baume-Longue","MR.4.002.572","dext",14,"16.29","Muséum Requien, Avignon"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Baume-Longue","MR.4.002.703","sin","13.24","16.07","Muséum Requien, Avignon"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Baume-Longue","MR.4.002.700","sin","13.75","16.39","Muséum Requien, Avignon"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Baume-Longue","MR.4.002.702","sin","13.3","15.75","Muséum Requien, Avignon"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Baume-Longue","MR.4.002.701","sin","14.16","16.18","Muséum Requien, Avignon"
