"chrono","MIS","species","country","site","label","side","B","L","L_para","L_proto","L_trig","location"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART C10","sin","14.3","35.3","17.4",15,29,"Musée d’Angoulême, Charente"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART97 C10","sin",13,29,,,25,"Musée d’Angoulême, Charente"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART97 C10 D25 5 186","dext",12,"27.4",,,25,"Musée d’Angoulême, Charente"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART C10 D25 8","dext",12,"27.4",,,25,"Musée d’Angoulême, Charente"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART97 C10 D25 9 309","sin",14,29,,,26,"Musée d’Angoulême, Charente"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART R575","sin",14,"31.8",,,27,"Musée d’Angoulême, Charente"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART P50","dext","13.3",31,15,13,"26.5","Musée d’Angoulême, Charente"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART C10","sin",13,,16,,,"Musée d’Angoulême, Charente"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART C10","sin",14,"30.5",14,13,24,"Musée d’Angoulême, Charente"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART C10","dext",13,29,"14.5","11.5",24,"Musée d’Angoulême, Charente"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART C10","sin","13.4",29,14,11,"22.8","Musée d’Angoulême, Charente"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART99 C10 SC1","sin",14,32,16,13,27,"Musée d’Angoulême, Charente"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART C10 325","sin",12,30,15,13,25,"Musée d’Angoulême, Charente"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART C10 D26","dext","13.2",30,14,12,"25.5","Musée d’Angoulême, Charente"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART97 C10 D25 9 342","dext",12,27,,,24,"Musée d’Angoulême, Charente"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART97 C10 D25 9 306","sin",11,27,,,25,"Musée d’Angoulême, Charente"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART C10","sin","12.8",27,,,24,"Musée d’Angoulême, Charente"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART97 C10 D25 7 243","dext",13,30,15,12,25,"Musée d’Angoulême, Charente"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART97 C10 D25 9 332","dext",12,30,14,12,"26.5","Musée d’Angoulême, Charente"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART C10 10 350","sin",13,29,,,24,"Musée d’Angoulême, Charente"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART01 C10 D25 4 15","dext","13.2","30.5",15,12,"26.7","Musée d’Angoulême, Charente"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART01 C10 D25 4 13","dext","13.4",32,16,13,28,"Musée d’Angoulême, Charente"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Baume-Longue","MR.4.002.619","sin","13.8","30.36","16.2","11.94","26.13","Muséum Requien, Avignon"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Baume-Longue","MR.4.002.620","sin","14.99","31.83","16.87","14.32","27.79","Muséum Requien, Avignon"
