"chrono","MIS","species","country","site","label","side","B","L","location"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART C10","sin",,16,"Musée d’Angoulême, Charente"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART C10","sin",11,,"Musée d’Angoulême, Charente"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART C10 D25 10","sin",,,"Musée d’Angoulême, Charente"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART97 C10 D25 9","sin",11,"14.4","Musée d’Angoulême, Charente"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART99 C10 SC1","sin",12,17,"Musée d’Angoulême, Charente"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART97 C10 D25 4 151","sin",11,15,"Musée d’Angoulême, Charente"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART97 C10 D25 9 342","dext",11,15,"Musée d’Angoulême, Charente"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART97 C10 D25 9 306","sin","9.7",14,"Musée d’Angoulême, Charente"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART97 C10 D25 7 243","dext","10.5",16,"Musée d’Angoulême, Charente"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART01 C10 D25 4 15","dext",11,14,"Musée d’Angoulême, Charente"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Baume-Longue","MR.4.002.624","dext","12.1","16.65","Muséum Requien, Avignon"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Baume-Longue","MR.4.002.625","dext","12.79","17.51","Muséum Requien, Avignon"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv 22",,"10.6","14.9","Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv D1D2 Eb 30413",,11,"16.7","Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv 31 30415",,12,"15.7","Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv Dèb 10003",,13,16,"Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv Ebo 10000",,13,"15.6","Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv Dèb 10008",,"12.2",17,"Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv He 109 D1D2",,"13.8","16.6","Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv 10100",,"12.4","16.8","Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv D1D2 T",,12,17,"Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv Ge D1",,"12.5","16.8","Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives",,,12,"15.4","Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv Hb 265 D1D2",,"12.4","16.3","Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv Kf 101 c1c2",,12,"16.4","Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv 2000 Hb 113 D1D2",,11,16,"Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv Hb 262 D1D2",,13,18,"Musée Archéologique d’Argentomagus, Indre"
