"chrono","MIS","species","country","site","label","side","B","L","location"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART1997 c10 D25 9 345","dext",11,"14.5","Musée d’Angoulême, Charente"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART1997 c10 D25 3 313","dext",13,17,"Musée d’Angoulême, Charente"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART1997 c10 D25 7 250","sin","12.8","16.5","Musée d’Angoulême, Charente"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART c10   ","dext","11.2",13,"Musée d’Angoulême, Charente"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART1997 c10 D25 6 209","sin",13,17,"Musée d’Angoulême, Charente"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART1997 c10 D25 5 179","sin",13,17,"Musée d’Angoulême, Charente"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART2001 c10 E19 d 48 380","sin",14,"15+","Musée d’Angoulême, Charente"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART1994 c10 c F26 b  ","sin",10,"14.5","Musée d’Angoulême, Charente"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART c10 D25 10 ","dext","12.2","16.7","Musée d’Angoulême, Charente"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART2001 c10 E19 a 50 384","dext","10.5",15,"Musée d’Angoulême, Charente"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART2001 c10 D25 4 ","sin",12,15,"Musée d’Angoulême, Charente"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Baume-Longue","MR.4.002.560","dext","15.05","18.67","Muséum Requien, Avignon"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Baume-Longue","MR.4.002.573","sin","13.25","16.3","Muséum Requien, Avignon"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Baume-Longue","MR.4.002.707","sin","13.43","17.05","Muséum Requien, Avignon"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Baume-Longue","MR.4.002.583","dext","13.85","18.5","Muséum Requien, Avignon"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Baume-Longue","MR.4.002.582","dext","14.98","18.97","Muséum Requien, Avignon"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Baume-Longue","MR.4.002.584","dext","14.16","18.42","Muséum Requien, Avignon"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Baume-Longue","MR.4.002.no n°","sin","13.87",,"Muséum Requien, Avignon"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Baume-Longue","MR.4.002.609","dext","14.95","17.98","Muséum Requien, Avignon"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv 2000 Hb 103 D1D2","dext",12,,"Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives",,"sin","13.6",16,"Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives",,"sin",13,17,"Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives",,"dext",13,"16.7","Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv 99.02 E4","sin",16,18,"Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv D1 10080","sin",13,17,"Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives",,"sin",8,"11.6","Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives",,"dext","12.8","15.8","Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives",,"sin","13.7",16,"Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv Hb 263 D1D2","dext","15.3","17.4","Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv Ge 1 E","dext","12.7",17,"Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv Ebo","dext",11,15,"Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv c1c2 10074","dext","12.8",16,"Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv Hf 42 c1c2","sin","12.5","15.8","Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv Hf 35 c1c2","sin",13,"16.8","Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv 26","sin","13.5","16.5","Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv He 58 D1D2","sin",13,16,"Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv Ge 32 D1D2","sin","12.4",17,"Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv Dèb 67 32","sin","14.7",17,"Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv Ebo 10079","sin","12.5",16,"Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv Hf 25 c1c2","sin","13.6","17.5","Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv Ebo 10078","sin",14,"16.5","Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv 2000 Hb D1D2 149","sin",13,"15.5","Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","H7 A 71","sin",13,"17.7",
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G9 A 405","dext",14,"17.4",
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","F10 A 70","dext",13,18,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","F10 C 384","sin",13,18,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G8 C 697","sin","12.3",16,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","F9 C 282","dext",13,,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G9 C 602","dext",14,18,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","F9 A/B 35","dext",14,18,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G8 C 663","?","12.2",17,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","E8 B 54","sin",12,,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","F6 32","sin","13.8",18,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","F10 B 166","dext",13,18,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G8 B 265","dext",13,17,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","F9 C 289","dext","13.9",17,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G6 E 112","sin",14,18,
