"chrono","MIS","species","country","site","label","side","B","L","location"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART1997 c10 D25 7 ","sin",7,8,"Musée d’Angoulême, Charente"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART1997 c10 D25 9 ","sin",8,8,"Musée d’Angoulême, Charente"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART1997 c10 D25 7 239","dext","7.5",9,"Musée d’Angoulême, Charente"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Baume-Longue","MR.4.002.556","dext","8.52","7.69","Muséum Requien, Avignon"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Baume-Longue","MR.4.002.708","dext","7.52","7.84","Muséum Requien, Avignon"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv Ebo 10091","sin","7.6","8.5","Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv c1c2 10095","dext",7,7,"Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv D1D2 T 10093","sin","7.5","7.8","Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv Ebo 10092","sin",7,"7.4","Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives",,"sin","7.4",,"Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv 2000 Kf 103 c1c2 (2)","sin","7.3",7,"Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv Hb c1c2 (6)","sin","7.6",7,"Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv Hb D1D2","dext","7.6","7.8","Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv Hb D1D2","sin",7,"7.8","Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv c1c2 10099","sin","7.7","8.5","Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","F11 A 97","dext","7.2","7.2",
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","F8 A/B 45","dext",7,7,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G9 B 267","sin",6,"8.2",
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G9 C 351","sin",8,8,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent",,"sin",7,8,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","F10 C 287","sin",9,9,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G9 B 238","sin",7,8,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","F10 C 310","sin",8,8,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","H8 C 191","dext",8,"7.1",
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G8 C 712 bis","sin",8,8,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","C ","sin",7,7,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G7 C ","sin","7.3","7.5",
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G9 C 264","sin","7.6","7.8",
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G8  715","dext",7,"7.2",
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G8  715","?",,7,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G8 C 632","sin","7.4",8,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","F9 B 58","dext","8.9","8.8",
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G8 B 444","dext",9,"7.8",
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G9 B 232","sin",8,7,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G8 B 406","dext","7.2",7,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G8 B 441","sin","7.8",8,
"Late Pleistocene","5e ?","Crocuta crocuta spelaea","France","Peyre","PII P14 35","dext",7,8,"MMSH, LAMPEA, Aix-en-Provence"
"Late Pleistocene","5e ?","Crocuta crocuta spelaea","France","Peyre","PI GF 10-11","dext","7.4",8,"MMSH, LAMPEA, Aix-en-Provence"
"Late Pleistocene","5e ?","Crocuta crocuta spelaea","France","Peyre","PI C4(2)a","dext","6.4","7.7","MMSH, LAMPEA, Aix-en-Provence"
"Late Pleistocene","5e ?","Crocuta crocuta spelaea","France","Peyre","PI A3 525","dext",7,"8.5","MMSH, LAMPEA, Aix-en-Provence"
"Late Pleistocene","5e ?","Crocuta crocuta spelaea","France","Peyre","PI C5b","sin","7.2","8.2","MMSH, LAMPEA, Aix-en-Provence"
"Late Pleistocene","5e ?","Crocuta crocuta spelaea","France","Peyre","PI R.B8-9","sin",7,"7.2","MMSH, LAMPEA, Aix-en-Provence"
"Late Pleistocene","5e ?","Crocuta crocuta spelaea","France","Peyre","PII Q14","sin",7,8,"MMSH, LAMPEA, Aix-en-Provence"
"Late Pleistocene","5e ?","Crocuta crocuta spelaea","France","Peyre","PI","sin",7,8,"MMSH, LAMPEA, Aix-en-Provence"
"Late Pleistocene","5e ?","Crocuta crocuta spelaea","France","Peyre","PI E10-14","sin",5,"7.8","MMSH, LAMPEA, Aix-en-Provence"
