"chrono","MIS","species","country","site","label","side","B","L","B_meta","L_meta","L_para","location"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART2001 c10 D25 7 ","dext","23.4",41,,,,"Musée d’Angoulême, Charente"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART1995 c10 c E26  ","dext",22,,,,,"Musée d’Angoulême, Charente"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART1997 c10 D25 4 ","sin","21.4",39,,"16.4",,"Musée d’Angoulême, Charente"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART Eboulie P48","sin","21.8",37,,"15.5",,"Musée d’Angoulême, Charente"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART1997 c10 D25 3 113","sin",23,"42.4",,17,,"Musée d’Angoulême, Charente"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART c10   ","sin",21,36,,16,,"Musée d’Angoulême, Charente"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART1997 c10 D25 5 170","dext",21,"40.5",,18,,"Musée d’Angoulême, Charente"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART1997 c10 D25 9 312","dext","20.6","36.4",,,,"Musée d’Angoulême, Charente"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART1997 c10 D25 7 239","dext","20.2",39,,17,,"Musée d’Angoulême, Charente"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART c10   ","dext",21,38,,16,,"Musée d’Angoulême, Charente"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART c10   ","dext","23.5",43,,19,,"Musée d’Angoulême, Charente"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART1997 c10 D25 3 123","sin",22,,,,,"Musée d’Angoulême, Charente"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Baume-Longue","MR.4.002.556","dext","26.01","42.28","14.26","19.03","14.63","Muséum Requien, Avignon"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Baume-Longue","MR.4.002.559","sin","24.45","41.23","13.66","17.89","14.13","Muséum Requien, Avignon"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Baume-Longue","MR.4.002.561","sin","22.74","42.67","12.8","18.98","14.84","Muséum Requien, Avignon"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Baume-Longue","MR.4.002.578","sin","20.8","40.89","13.13","16.54","14.68","Muséum Requien, Avignon"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Baume-Longue","MR.4.002.575","dext","23.63","39.13","11.51","17.64","13.62","Muséum Requien, Avignon"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Baume-Longue","MR.4.002.576","dext",,"40.8","12.52","17.6","14.81","Muséum Requien, Avignon"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Baume-Longue","MR.4.002.581","sin","20.63","39.64","13.27","17.2","14.34","Muséum Requien, Avignon"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Baume-Longue","MR.4.002.577","sin",,"40.66","13.34","17.99","13.33","Muséum Requien, Avignon"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Baume-Longue","MR.4.002.580","sin",,"41.45","13.05","19.09","13.56","Muséum Requien, Avignon"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Baume-Longue","MR.4.002.579","sin",,,"13.37","17.52",,"Muséum Requien, Avignon"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv Te","sin","22.4",,,,,"Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv D1D2 T 10004","sin","20.7","39.6",,17,,"Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives",,"sin",,,,"17.4",,"Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv 2000 Jf c1c2 022","dext","21.8",40,,"17.4",,"Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv 29","sin","20.6",39,,18,,"Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv D2 10010","dext","22.7",40,,"17.6",,"Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv","sin",20,38,,"16.6",,"Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv Ge 40 D1D2","sin",22,39,,18,,"Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv Dèb 67 30","dext",20,"40.6",,18,,"Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv 2000 Hb 228 D1D2","dext","20.4","42.7",,17,,"Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv Ebo 10006","sin","21.8",,,,,"Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv Ebo 10007","dext",,"39.2",,"16.3",,"Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv Ebo 10011","sin",,"40.7",,17,,"Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv Gf 63 D1D2 30375","sin",23,40,,18,,"Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv c2 10028","dext","20.4","38.9",,"17.5",,"Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv 27 30414","sin","21.8",40,,"18.4",,"Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G8 B/C 494","dext",22,40,,17,,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","F9 C 213","dext",,,,17,,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","F7 A 52","sin",,,,"18.8",,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","F10 C 626","dext",19,41,,19,,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G8 C 715","sin",22,39,,17,,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G7  132","sin",20,39,,17,,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G9 B 173","sin","20.5","38.7",,"17.2",,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","F9 B 153","sin","22.4","40.5",,19,,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G9 B 666","sin",21,39,,"17.2",,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G9 B 447","sin",23,"41.3",,"19.2",,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","F9 B 270","sin","22.4",42,,18,,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G11 B 101","sin","22.6","40.3",,"17.4",,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G10 B2 115","dext","20.3","38.9",,18,,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G9 B 400","sin","22.6",,,,,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","F9 B 97","dext",,,,20,,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G9 C 642","dext",,,,20,,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G8 C 662","sin",21,,,,,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","F10 C 307","sin","22.6",,,,,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G8 C 629","sin","22.3",41,,19,,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G8 C 721","sin","22.5",,,,,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","F9 C 292","dext",21,"41.8",,"18.5",,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","H8 C 203","dext",21,40,,"17.6",,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","F11 C 281","sin",13,"36.5",,,,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","C ","dext",,"35.5",,15,,
"Late Pleistocene","5e ?","Crocuta crocuta spelaea","France","Peyre","PI R.B8-9","dext",23,"39.5",,"17.4",,"MMSH, LAMPEA, Aix-en-Provence"
"Late Pleistocene","5e ?","Crocuta crocuta spelaea","France","Peyre","PII Q14 341","dext",20,"36.3",,16,,"MMSH, LAMPEA, Aix-en-Provence"
"Late Pleistocene","5e ?","Crocuta crocuta spelaea","France","Peyre","PII R 2","dext",24,"39.4",,"16.6",,"MMSH, LAMPEA, Aix-en-Provence"
"Late Pleistocene","5e ?","Crocuta crocuta spelaea","France","Peyre","PII Q14 332","dext",22,38,,"17.5",,"MMSH, LAMPEA, Aix-en-Provence"
"Late Pleistocene","5e ?","Crocuta crocuta spelaea","France","Peyre","PI B3 368","dext",,,,17,,"MMSH, LAMPEA, Aix-en-Provence"
"Late Pleistocene","5e ?","Crocuta crocuta spelaea","France","Peyre","PI Ro 408","sin","19.4","36.4",,15,,"MMSH, LAMPEA, Aix-en-Provence"
"Late Pleistocene","5e ?","Crocuta crocuta spelaea","France","Peyre","PII Q14 381","sin",19,36,,15,,"MMSH, LAMPEA, Aix-en-Provence"
"Late Pleistocene","5e ?","Crocuta crocuta spelaea","France","Peyre","PII Q14 333","sin",,"36.3",,17,,"MMSH, LAMPEA, Aix-en-Provence"
"Late Pleistocene","5e ?","Crocuta crocuta spelaea","France","Peyre","PI Ro 408","sin",19,36,,15,,"MMSH, LAMPEA, Aix-en-Provence"
